data_id,state_id,indicator_id,categories_id,nfhs_id,ST,Non-ST,Total
504,10,48,7,2,77.7,75.7,75.8
505,10,49,7,2,71.6,70.7,70.8
506,10,50,7,2,85.4,85.2,85.2
507,10,51,7,2,35.7,29,29.3
508,10,52,7,2,13.1,13.7,13.7
509,10,53,7,2,80.3,75,75.1
510,10,54,7,2,64.5,58,58.2
511,10,55,7,2,33.6,25.3,25.6
512,10,56,7,2,24.1,19.1,19.3
513,10,57,7,2,4.2,3.5,3.5
514,10,58,7,2,*,68.4,67.8
515,10,59,8,2,14.4,16.8,16.8
516,10,60,8,2,22.1,31.4,31.1
517,10,61,8,2,71.6,58.5,58.9
518,10,62,8,2,10.9,10.7,10.7
519,10,63,8,2,46.9,42.8,42.9
520,10,64,8,2,23.8,22.9,22.9
521,10,65,8,2,7.4,8.9,8.8
522,10,66,8,2,45.9,40.8,41
523,10,67,8,2,2.1,2.4,2.4
524,10,68,8,2,70.4,70.5,70.5
525,10,69,8,2,50.3,40.9,41.3
526,10,70,8,2,45.9,45.6,45.6
527,10,71,8,2,17.3,16.4,16.4
528,10,72,8,2,19.6,13.9,14.1
529,10,73,8,2,40.8,35,35.2
530,10,74,8,2,58.6,63.9,63.7
531,10,75,9,2,29.7,25.5,25.6
532,10,76,9,2,27.9,21.5,21.7
533,10,77,9,2,13.2,16,15.9
534,10,78,9,2,12.6,14.5,14.5
535,10,79,9,2,36,47.4,47
536,10,80,9,2,59.1,60.3,60.2
537,10,81,9,2,68.2,62.9,63.1
538,10,82,9,2,64.7,63.5,63.5
539,10,83,10,2,8.4,8.1,8.1
540,10,84,10,2,14,16.4,16.4
541,10,85,11,2,9.9,8.8,8.8
542,10,86,11,2,10.7,11.2,11.1
543,10,87,12,2,6,4.9,5
544,10,88,12,2,53.1,48.6,48.8
545,10,89,12,2,0.8,0.4,0.4
546,10,90,12,2,21.6,15.2,15.4
547,10,91,13,2,80.5,78.2,78.2
548,10,92,13,2,500,400,400
549,10,93,13,2,87.1,93.7,93.5
550,10,94,13,2,91.7,95.5,95.4
551,10,95,14,2,10.2,12.7,12.6
552,10,96,14,2,66.7,55,55.3
553,10,97,14,2,72,76.8,76.7
554,10,98,14,2,42.1,51.6,51.4
555,10,99,15,2,42,41.6,41.6
556,10,100,15,2,38.1,35.3,35.4
557,10,101,15,2,3.6,3.1,3.1
558,10,102,15,2,1.3,2.1,2.1
559,10,103,16,2,64.8,78.1,77.7
560,10,104,16,2,83.9,92.4,92.1
561,10,105,16,2,62.7,76,75.7
562,10,106,16,2,83.2,92,91.7
563,10,107,16,2,9.2,10.4,10.3
564,10,108,16,2,12.7,25.4,24.9
565,10,109,17,2,37.6,37,37
566,10,110,17,2,66.8,65,65
567,10,111,17,2,3.7,4.2,4.1
568,10,112,17,2,4.5,5,5
569,10,113,17,2,5,3.7,3.7
570,10,114,17,2,7,5.1,5.2
571,22,1,1,2,1044,1003,1015
572,22,2,1,2,961,941,947
573,22,3,1,2,80.1,89.2,86.5
574,22,4,1,2,61.9,72.5,69.3
575,22,5,1,2,28.2,40.6,36.9
